"ts_code","name"
"016995.OF","华泰紫金安恒平衡配置A"
"016996.OF","华泰紫金安恒平衡配置C"
"017483.OF","财通资管数字经济A"
"016786.OF","鹏华中证1000指数增强C"
"017484.OF","财通资管数字经济C"
"513140.SH","港股金融ETF"
"016446.OF","财通资管现金聚财"
"017673.OF","东方红颐和稳健养老目标两年持有Y"
"017674.OF","东方红颐和平衡养老目标三年持有Y"
"017672.OF","兴全安泰平衡养老(FOF)Y"
"017675.OF","东方红颐和积极养老目标五年持有Y"
"017127.OF","工银瑞信瑞嘉一年定开A"
"017136.OF","长盛同业存单指数7天持有"
"970179.OF","天风金管家"
"970207.OF","国信睿丰C"
"938666.OF","国信睿丰A"
"017128.OF","工银瑞信瑞嘉一年定开C"
"017614.OF","工银瑞信瑞福纯债F"
"159682.SZ","创业50ETF"
"017447.OF","民生加银恒宁"
"017183.OF","中信建投同业存单指数7天持有"
"017487.OF","万家洞见进取C"
"017486.OF","万家洞见进取A"
"016267.OF","建信中证500指数量化增强A"
"017474.OF","中信建投景荣C"
"016268.OF","建信中证500指数量化增强C"
"017523.OF","南方北证50成份A"
"017187.OF","国新国证鑫裕央企债六个月定开"
"017524.OF","南方北证50成份C"
"017473.OF","中信建投景荣A"
"159665.SZ","半导体龙头ETF"
"017518.OF","招商北证50成份C"
"017517.OF","招商北证50成份A"
"017017.OF","农银汇理瑞泽添利A"
"017018.OF","农银汇理瑞泽添利C"
"017527.OF","嘉实北证50成份A"
"017106.OF","光大保德信荣利纯债C"
"017443.OF","嘉实30天持有中短债A"
"016719.OF","富国稳健双盈A"
"017444.OF","嘉实30天持有中短债C"
"017578.OF","南方中证政策性金融债C"
"159681.SZ","创50ETF"
"016882.OF","山西证券裕景30天持有C"
"016886.OF","山西证券裕泽C"
"016849.OF","建信优享进取养老目标五年持有"
"016881.OF","山西证券裕景30天持有A"
"017105.OF","光大保德信荣利纯债A"
"016720.OF","富国稳健双盈C"
