"ts_code","symbol","name","area","industry","market","list_date"
"002544.SZ","002544","普天科技","广东","通信设备","中小板","20110128"
"002545.SZ","002545","东方铁塔","山东","钢加工","中小板","20110211"
"002546.SZ","002546","新联电子","江苏","电气设备","中小板","20110211"
"002547.SZ","002547","春兴精工","江苏","通信设备","中小板","20110218"
"002548.SZ","002548","金新农","深圳","饲料","中小板","20110218"
"002549.SZ","002549","凯美特气","湖南","环境保护","中小板","20110218"
"002550.SZ","002550","千红制药","江苏","生物制药","中小板","20110218"
"002551.SZ","002551","尚荣医疗","深圳","医疗保健","中小板","20110225"
"002552.SZ","002552","宝鼎科技","浙江","机械基件","中小板","20110225"
"002553.SZ","002553","南方精工","江苏","汽车配件","中小板","20110225"
"002554.SZ","002554","惠博普","湖南","石油开采","中小板","20110225"
"002555.SZ","002555","三七互娱","安徽","互联网","中小板","20110302"
"002556.SZ","002556","辉隆股份","安徽","农药化肥","中小板","20110302"
"002557.SZ","002557","洽洽食品","安徽","食品","中小板","20110302"
"002558.SZ","002558","巨人网络","重庆","互联网","中小板","20110302"
"002559.SZ","002559","亚威股份","江苏","机床制造","中小板","20110303"
"002560.SZ","002560","通达股份","河南","电气设备","中小板","20110303"
"002561.SZ","002561","徐家汇","上海","百货","中小板","20110303"
"002562.SZ","002562","兄弟科技","浙江","化学制药","中小板","20110310"
